dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
158197,5082,28218464,27624097,1166538,169339
156284,4926,28218464,27624097,1150968,166928
153999,4903,28218464,27624097,1135441,164623
152784,4756,28218464,27624097,1120965,162504
149720,4738,28218464,27624097,1105811,160136
148489,4735,28218464,27624097,1092017,157548
146240,4701,28218464,27624097,1078195,155361
145528,4584,28218464,27624097,1065528,153611
143030,4663,28218464,27624097,1052060,151835
141587,4492,28218464,27624097,1039539,149616
139745,4461,28218464,27624097,1026471,148352
137652,4414,28218464,27624097,1013913,145796
136238,4267,28218464,27624097,1001603,144281
135090,4243,28218464,27624097,990249,142201
133186,4206,28218464,27624097,977912,141317
132294,4091,28218464,27624097,966981,139134
130691,4180,28218464,27624097,956010,137482
128975,4058,28218464,27624097,945000,135927
128164,4010,28218464,27624097,935481,133673
125732,3980,28218464,27624097,924809,132424
125186,3965,28218464,27624097,914890,131140
123324,3860,28218464,27624097,904992,129362
122367,3857,28218464,27624097,894712,128790
121570,3734,28218464,27624097,885703,126845
120126,3725,28218464,27624097,876705,125399
119465,3738,28218464,27624097,867912,124520
117966,3763,28218464,27624097,859992,122123
117330,3634,28218464,27624097,852069,121619
115585,3709,28218464,27624097,843895,120050
114950,3576,28218464,27624097,836725,118544
113828,3492,28218464,27624097,828817,118244
112540,3485,28218464,27624097,821251,116621
111195,3500,28218464,27624097,812788,116158
110076,3424,28218464,27624097,804694,114746
109670,3441,28218464,27624097,797152,113771
108229,3464,28218464,27624097,789594,112323
107196,3496,28218464,27624097,781742,111552
106625,3305,28218464,27624097,774328,110734
105410,3306,28218464,27624097,767163,109269
104597,3291,28218464,27624097,760382,108087
103596,3153,28218464,27624097,753967,106858
102378,3182,28218464,27624097,746462,106701
101714,3116,28218464,27624097,740079,104981
101342,3125,28218464,27624097,734067,104229
99438,3136,28218464,27624097,726803,103566
98933,3048,28218464,27624097,720225,102463
98474,3073,28218464,27624097,714124,101502
97057,3005,28218464,27624097,707325,100851
96854,3011,28218464,27624097,701934,99234
96066,3067,28218464,27624097,696155,98778
94541,2946,28218464,27624097,689228,98522
94237,2970,28218464,27624097,683980,96515
93331,2896,28218464,27624097,678418,95997
92453,2899,28218464,27624097,672333,95639
91910,2751,28218464,27624097,667044,94448
90682,2885,28218464,27624097,661032,93809
90352,2773,28218464,27624097,655036,93575
89608,2685,28218464,27624097,650016,91943
89522,2748,28218464,27624097,645247,91543
88112,2657,28218464,27624097,640083,90619
87474,2684,28218464,27624097,635010,89863
86546,2646,28218464,27624097,629668,89242
86456,2560,28218464,27624097,625213,88351
85879,2607,28218464,27624097,620750,87735
85246,2709,28218464,27624097,616239,87048
84748,2633,28218464,27624097,611775,86579
83694,2593,28218464,27624097,606961,85915
83027,2557,28218464,27624097,602437,84994
82028,2435,28218464,27624097,598047,83983
82094,2440,28218464,27624097,593543,84158
81596,2480,28218464,27624097,589171,83488
80610,2415,28218464,27624097,584593,82773
80454,2448,28218464,27624097,580189,82410
79283,2448,28218464,27624097,575700,81324
78827,2417,28218464,27624097,571380,80730
78239,2429,28218464,27624097,567594,79596
77382,2415,28218464,27624097,562749,79812
77349,2449,28218464,27624097,558639,79010
76722,2310,28218464,27624097,554579,78472
76435,2309,28218464,27624097,550618,78087
75976,2321,28218464,27624097,547126,77147
75407,2282,28218464,27624097,543651,76600
74490,2169,28218464,27624097,539995,75977
74151,2249,28218464,27624097,536618,75279
73617,2177,28218464,27624097,533020,75038
72995,2234,28218464,27624097,529175,74606
72818,2185,28218464,27624097,525555,74253
72244,2260,28218464,27624097,521784,73755
71461,2224,28218464,27624097,517901,73120
71240,2094,28218464,27624097,514267,72780
70910,2138,28218464,27624097,511062,71977
70418,2122,28218464,27624097,507783,71575
69782,2128,28218464,27624097,504669,70768
69327,2129,28218464,27624097,501126,70741
68842,2090,28218464,27624097,497688,70190
68747,2110,28218464,27624097,494829,69496
68006,2054,28218464,27624097,491699,69082
67578,2066,28218464,27624097,488232,68979
67677,2099,28218464,27624097,485517,68293
66546,2036,28218464,27624097,482153,67874
66588,1987,28218464,27624097,479303,67451
66043,1991,28218464,27624097,476543,66812
65239,1942,28218464,27624097,473007,66833
65141,1999,28218464,27624097,470090,66059
64513,1956,28218464,27624097,467119,65528
64257,1940,28218464,27624097,463679,65757
64046,1987,28218464,27624097,461135,64603
63315,1931,28218464,27624097,457823,64696
63175,1887,28218464,27624097,454961,64150
62736,1931,28218464,27624097,452373,63393
62171,1917,28218464,27624097,449268,63359
61849,1816,28218464,27624097,446620,62681
61548,1830,28218464,27624097,443799,62539
61130,1815,28218464,27624097,440949,62165
61047,1803,28218464,27624097,438728,61465
60237,1818,28218464,27624097,435739,61408
60000,1833,28218464,27624097,432929,60977
59119,1818,28218464,27624097,429822,60408
59276,1803,28218464,27624097,427268,60027
58601,1768,28218464,27624097,424222,59879
58321,1837,28218464,27624097,421375,59331
57859,1809,28218464,27624097,418187,59238
56933,1775,28218464,27624097,414829,58516
57049,1729,28218464,27624097,411934,58215
56667,1763,28218464,27624097,409428,57410
56435,1750,28218464,27624097,406525,57588
55595,1777,28218464,27624097,403438,56905
55712,1672,28218464,27624097,400836,56642
55541,1643,28218464,27624097,398549,56185
55087,1640,28218464,27624097,396473,55523
54592,1652,28218464,27624097,394202,55211
54607,1589,28218464,27624097,392055,55165
53824,1635,28218464,27624097,389510,54734
53885,1649,28218464,27624097,387662,54084
53192,1682,28218464,27624097,384945,54227
52850,1679,28218464,27624097,382475,53641
52887,1595,28218464,27624097,380266,53501
52559,1631,28218464,27624097,378133,53061
51911,1582,28218464,27624097,375369,53093
51491,1514,28218464,27624097,372888,52458
51494,1590,28218464,27624097,370601,52191
50778,1485,28218464,27624097,368122,51772
51146,1600,28218464,27624097,366388,51280
50865,1527,28218464,27624097,364322,51404
50055,1539,28218464,27624097,361843,50995
49827,1504,28218464,27624097,359731,50435
49582,1420,28218464,27624097,357802,50091
49542,1479,28218464,27624097,355872,49993
48923,1462,28218464,27624097,353929,49404
49089,1564,28218464,27624097,351975,49479
48480,1535,28218464,27624097,349442,49478
48049,1471,28218464,27624097,347491,48529
48319,1466,28218464,27624097,345960,48384
47687,1452,28218464,27624097,343956,48239
47454,1391,28218464,27624097,341781,48238
47270,1405,28218464,27624097,340236,47410
46756,1397,28218464,27624097,337939,47656
46715,1396,28218464,27624097,336020,47238
46144,1388,28218464,27624097,334157,46619
46148,1413,28218464,27624097,332019,46873
45658,1420,28218464,27624097,329720,46537
45845,1386,28218464,27624097,328235,45944
44988,1362,28218464,27624097,326046,45815
45368,1343,28218464,27624097,324589,45482
44290,1351,28218464,27624097,322265,45263
44251,1351,28218464,27624097,320237,44928
43710,1327,28218464,27624097,317767,44853
44339,1385,28218464,27624097,316444,44277
43808,1252,28218464,27624097,314329,44671
43586,1281,28218464,27624097,312935,43699
42854,1325,28218464,27624097,310337,44127
42554,1286,28218464,27624097,308682,42923
42351,1288,28218464,27624097,306796,42949
42122,1307,28218464,27624097,305189,42422
42101,1296,28218464,27624097,302882,43112
41806,1290,28218464,27624097,300835,42563
41546,1214,28218464,27624097,298861,42306
41431,1257,28218464,27624097,297220,41815
41013,1276,28218464,27624097,295762,41195
40482,1225,28218464,27624097,293866,41153
39960,1180,28218464,27624097,291682,40964
40513,1322,28218464,27624097,290034,40839
39885,1198,28218464,27624097,288229,40492
39801,1169,28218464,27624097,286391,40470
39415,1225,28218464,27624097,284392,40189
