Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-07-26,1.85135,1.85135,1.83107,1.83722
2019-07-29,1.83502,1.83679,1.82048,1.82126
2019-07-30,1.82132,1.82595,1.8122,1.81412
2019-07-31,1.81385,1.82948,1.81034,1.82617
2019-08-01,1.82693,1.83382,1.77942,1.78125
2019-08-02,1.78031,1.802,1.7754,1.78936
2019-08-05,1.79033,1.79382,1.76393,1.77086
2019-08-06,1.76756,1.78149,1.75958,1.76061
2019-08-07,1.76058,1.76251,1.72111,1.72633
2019-08-08,1.72813,1.73955,1.71449,1.72354
2019-08-09,1.72021,1.73353,1.71645,1.72841
2019-08-12,1.72911,1.73835,1.7057,1.71397
2019-08-13,1.7144,1.74085,1.68372,1.71686
2019-08-14,1.71642,1.72536,1.67151,1.68041
2019-08-15,1.68058,1.69132,1.66431,1.66772
2019-08-16,1.66648,1.69838,1.66183,1.68799
2019-08-19,1.6907,1.70182,1.68815,1.69548
2019-08-20,1.69672,1.69944,1.68498,1.69099
2019-08-21,1.68978,1.70537,1.68801,1.69703
2019-08-22,1.69698,1.70456,1.68929,1.69747
2019-08-23,1.69618,1.70029,1.66391,1.66391
2019-08-26,1.65507,1.668,1.6405,1.66649
2019-08-27,1.66646,1.66834,1.64025,1.64382
2019-08-28,1.64371,1.65292,1.63294,1.63935
2019-08-29,1.63965,1.65795,1.62543,1.64875
2019-08-30,1.64974,1.65511,1.63898,1.6488
2019-09-02,1.64081,1.65459,1.63664,1.64545
2019-09-03,1.6449,1.64847,1.62654,1.63222
2019-09-04,1.63174,1.65515,1.62867,1.63813
2019-09-05,1.63752,1.69204,1.63606,1.67328
2019-09-06,1.67388,1.69237,1.66674,1.68707
2019-09-09,1.68591,1.70355,1.68005,1.7009
2019-09-10,1.70138,1.7167,1.69625,1.716
2019-09-11,1.7165,1.71694,1.69233,1.69513
2019-09-12,1.69382,1.70553,1.65665,1.70209
2019-09-13,1.70219,1.72305,1.69358,1.7216
2019-09-16,1.70152,1.70866,1.68883,1.69536
