dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
565,91,14224874,7777048,5642,1202
2119,37,14224874,8134394,6466,1258
2275,13,14224874,8314012,7976,752
2928,26,14224874,8493563,10239,639
3720,18,14224874,8672477,13260,681
4794,21,14224874,8851729,17355,678
6164,19,14224874,9031176,22782,718
8076,20,14224874,9209526,30121,717
10901,61,14224874,9387550,39036,1925
13728,81,14224874,9565925,50479,2204
18132,91,14224874,9744489,65755,2765
23158,116,14224874,9923014,85208,3589
30007,162,14224874,10101288,110516,4537
38731,170,14224874,10279559,143206,5871
50323,226,14224874,10457789,185641,7662
64590,300,14224874,10636693,239559,10372
82327,403,14289475,10814669,308297,13186
105979,546,14353684,10992106,396488,17242
135413,645,14417860,11169862,509138,22118
172448,828,14481387,11347038,652088,28670
219200,1160,14544805,11523777,833383,36745
276712,1425,14607502,11700190,1060566,48104
347307,1820,14669324,11874904,1344449,61604
434549,2318,14730346,12049663,1697967,78713
540372,2971,14790010,12222584,2134247,101121
664100,3908,14848423,12393661,2665069,129370
806806,4893,14904757,12563653,3302460,164522
971000,6297,14959406,12731459,4057795,209368
1149977,7757,15011527,12897270,4935437,264578
1338782,9900,15060900,13059867,5932525,331794
1527719,12573,15107299,13219610,7032364,415307
1710031,15264,15150193,13375455,8210190,516941
1868393,19142,15189732,13528290,9424125,635316
1992554,23035,15225612,13677470,10621255,772389
2083823,27847,15258459,13824305,11746453,930778
2136092,33029,15287953,13969618,12746568,1102948
2150304,38599,15314569,14001085,13573179,1285094
2158268,44038,15339422,14033339,14218291,1469118
2148403,49158,15362558,14066106,14671066,1646470
2136345,54107,15384715,14097492,14951870,1801434
2126338,57425,15405938,14126376,15095623,1925160
2121091,60420,15427117,14150592,15139785,2016509
2113671,62262,15448158,14169082,15121448,2069746
2108511,63180,15469229,14180451,15081843,2084936
2106371,63652,15490508,14183663,15030722,2093840
2096386,62509,15511557,14186585,14978328,2086271
2087028,61819,15532657,14189475,14927824,2075713
2078023,61864,15553865,14192350,14878684,2065299
2068547,61573,15574972,14195181,14825642,2060016
2058100,61532,15595934,14197549,14769040,2053170
2046601,61127,15616972,14199367,14707360,2047154
2035919,61232,15637988,14233990,14636622,2045425
2024601,61048,15637998,14270739,14564710,2035465
2014747,60950,15638004,14310313,14491439,2027068
2004495,60647,15638007,14353071,14417364,2017923
1994358,60045,15638011,14398991,14341911,2009766
1979338,59826,15638011,14447824,14262158,1999265
1968679,59842,15638013,14499358,14183702,1987293
1957107,59527,15638014,14553247,14103526,1977756
1944436,58950,15638015,14609134,14022527,1966485
1932490,58187,15638015,14665107,13939894,1956936
1918241,58744,15638015,14719434,13852883,1946508
1906411,58357,15638015,14772786,13764219,1936718
1894610,57623,15638015,14825005,13676970,1924236
1884537,57862,15638015,14875029,13593186,1910459
1869016,57171,15638015,14923055,13504009,1901022
1860620,56499,15638015,14968943,13419656,1888474
1849435,56476,15638015,15012114,13335082,1877533
1838024,55752,15638015,15052707,13253627,1863727
1828039,55486,15638015,15090267,13174728,1851452
1818272,55272,15638015,15124769,13096993,1840735
1805501,54873,15638015,15156802,13017331,1830290
1799175,54550,15638015,15186460,12946689,1815267
1785891,54117,15638015,15214256,12870127,1808336
1776263,53979,15638015,15240221,12796110,1796301
1769335,53265,15638015,15264638,12728205,1783975
1759921,53600,15638015,15288133,12658319,1776207
1748547,53219,15638015,15310549,12588252,1765395
1740225,52296,15638015,15332447,12521144,1755037
1730714,52333,15638015,15353904,12452316,1747209
1722314,52171,15638015,15375019,12387716,1734743
1714365,51716,15638015,15395696,12324696,1725669
1703236,51487,15638015,15416221,12258600,1717845
1697055,51622,15638015,15436563,12195507,1708526
1684930,51339,15638015,15457083,12130123,1698975
1677958,50702,15638015,15477234,12067762,1689617
1670894,50327,15638015,15497358,12007270,1681059
1662568,50077,15638015,15505813,11945960,1673801
1654018,49801,15638015,15513228,11885749,1664428
1647366,49509,15638015,15519506,11828913,1654693
1639586,49545,15638015,15525028,11770904,1648050
1632480,49010,15638015,15529499,11718564,1635810
1623813,49105,15638015,15532946,11662504,1630768
1617897,48751,15638015,15535540,11609406,1622244
1611435,48131,15638015,15537238,11557877,1614833
1604041,48388,15638015,15537914,11506995,1606535
1594914,47720,15638015,15538485,11454066,1600123
1586501,47593,15638015,15538972,11400387,1592587
1584328,47355,15638015,15539358,11351186,1586174
1575028,47077,15638015,15539714,11301928,1577209
1571171,47272,15638015,15539965,11255063,1570764
1563055,47089,15638015,15540166,11206380,1564649
1557264,46819,15638015,15540297,11158712,1558113
1548490,46375,15638015,15540347,11111600,1549227
1543065,46432,15638015,15540382,11067410,1540823
1537030,45857,15638015,15540420,11020136,1538447
1529763,45559,15638015,15540447,10974050,1530290
1525367,45494,15638015,15540474,10927470,1526453
1519773,45827,15638015,15540493,10884560,1516856
1512327,45173,15638015,15540509,10838711,1513003
1504674,45469,15638015,15540514,10794190,1503726
1498176,44787,15638015,15540517,10748869,1498710
1494154,45086,15638015,15540524,10705480,1492457
1486249,44556,15638015,15540527,10661118,1486055
1480412,44413,15638015,15540529,10616143,1480974
1475608,44355,15638015,15540530,10571544,1475852
1470145,43873,15638015,15540533,10528281,1469535
1462879,43734,15638015,15540533,10485795,1461631
1455373,43853,15638015,15540533,10442793,1454522
1447386,43460,15638015,15540533,10395631,1451088
1443068,43045,15638015,15540533,10352334,1443320
1437672,43368,15638015,15540534,10309049,1437589
1432446,43004,15638015,15540534,10265453,1433038
1425079,42717,15638015,15540534,10219712,1428103
1420298,42820,15638015,15540534,10175700,1421490
1414766,42360,15638015,15540534,10135599,1412507
1407713,42257,15638015,15540534,10094864,1406191
1403438,42068,15638015,15540534,10054991,1401243
1398259,41837,15638015,15540534,10014895,1396518
1390925,42090,15638015,15540534,9973302,1390428
1384315,41495,15638015,15540534,9931694,1384428
1377715,41355,15638015,15540534,9888668,1379386
1373226,41556,15638015,15540534,9846861,1373477
1368075,41150,15638015,15540534,9806524,1367262
1361816,40999,15638015,15540534,9765100,1362241
1355087,40840,15638015,15540534,9721211,1358136
1350246,40695,15638015,15540534,9680486,1350276
1344448,40079,15638015,15540534,9640365,1344490
1338531,40356,15638015,15540534,9600047,1338493
1331662,39684,15638015,15540534,9558051,1333974
1327226,40181,15638015,15540534,9516591,1328505
1322866,39918,15638015,15540534,9477519,1322020
1316586,39905,15638015,15540534,9437875,1316325
1312135,39505,15638015,15540534,9399795,1310710
1305966,39002,15638015,15540534,9360981,1305778
1299773,39064,15638015,15540534,9321821,1299869
1295912,38835,15638015,15540534,9284920,1293978
1289733,38385,15638015,15540534,9247390,1288878
1282585,38494,15638015,15540534,9206702,1284779
1279922,38148,15638015,15540534,9169454,1279022
1273288,38111,15638015,15540534,9130181,1274450
1268527,38117,15638015,15540534,9092612,1267979
1262393,37763,15638015,15540534,9055212,1262030
1257307,37577,15638015,15540534,9015349,1259593
