dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
565,91,14224874,7777048,5642,1202
2113,42,14224874,8135495,6413,1300
2362,25,14224874,8314340,8023,727
2899,21,14224874,8493524,10205,696
3649,13,14224874,8672610,13154,687
4757,15,14224874,8851852,17243,653
6374,21,14224874,9030777,22925,671
8251,28,14224874,9210186,30479,669
10809,65,14224874,9388522,39266,1957
13886,66,14224874,9567027,50815,2271
17818,88,14224874,9745672,65790,2755
23571,100,14224874,9924340,85744,3517
30518,150,14224874,10103077,111587,4525
38963,177,14224874,10281979,144291,6082
50390,228,14224874,10460256,186579,7874
64462,325,14224874,10638524,240481,10235
83120,424,14483668,10817153,309884,13293
105964,513,14741399,10994931,398324,17011
135444,686,14998053,11173136,510636,22446
171162,872,15253022,11350152,651920,29006
215919,1092,15505239,11525765,829491,37256
269939,1441,15756157,11701705,1049913,48076
336994,1813,16003186,11876625,1323503,61591
415344,2422,16247336,12049960,1657177,79248
509582,3051,16487334,12223162,2062697,101011
620935,3949,16720991,12395174,2550538,129145
745701,4945,16947932,12565444,3127983,163311
884416,6174,17167293,12732920,3799743,206482
1034741,7792,17377318,12899080,4568651,258041
1194041,9648,17577239,13062769,5430980,322064
1351818,11939,17766211,13222784,6373464,397395
1503119,14990,17943340,13380791,7374320,487273
1638749,18101,18107085,13535740,8400561,594407
1750848,21568,18258453,13688755,9415644,714197
1838061,25695,18397912,13839581,10379472,848538
1894557,29819,18525997,13988506,11252159,992051
1928956,34552,18643727,14018018,11998953,1147610
1949570,39138,18753517,14048500,12610041,1299344
1955871,43277,18856427,14079113,13074114,1448521
1952722,47111,18954891,14108076,13398608,1581117
1951085,50697,19049538,14134569,13607835,1691161
1945039,53560,19141965,14156886,13721306,1778008
1938248,55227,19234045,14173697,13770116,1834211
1934862,56228,19325384,14183835,13778663,1870087
1923388,56823,19416247,14186593,13755121,1890107
1913633,56591,19507330,14188910,13712849,1899314
1904596,56966,19598379,14191394,13664363,1896116
1893337,56864,19689253,14193797,13606465,1894371
1880116,56793,19780249,14196045,13541610,1888178
1866586,56908,19870786,14197995,13468847,1882441
1854757,56486,19961652,14199455,13389375,1877743
1841124,55597,20053029,14341191,13306394,1868508
1821615,55821,20053063,14494183,13212935,1859253
1809263,55434,20053079,14658800,13116156,1850608
1789891,55338,20053095,14835144,13012431,1838278
1769968,54809,20053104,15022161,12900629,1826961
1750725,54796,20053114,15220258,12783824,1812734
1728151,54106,20053127,15427326,12656591,1801278
1705604,53612,20053136,15645528,12520800,1787783
1682385,53105,20053141,15872882,12379731,1770349
1655830,52792,20053141,16097490,12225566,1757203
1631229,52061,20053141,16318317,12065274,1739460
1605735,51336,20053141,16535397,11899972,1719701
1586703,51042,20053141,16745946,11733419,1702214
1560481,50603,20053141,16950291,11563851,1679446
1539844,49702,20053141,17147200,11396389,1657604
1518473,48878,20053141,17335272,11230544,1635440
1497285,48207,20053141,17513127,11070288,1609334
1477559,47506,20053141,17680894,10914457,1585884
1456679,46799,20053141,17837820,10763907,1560430
1439384,46229,20053141,17983455,10614499,1542563
1423167,45493,20053141,18118948,10475186,1516987
1402671,44704,20053141,18245307,10336189,1496964
1389272,43904,20053141,18363221,10205505,1476052
1371682,43425,20053141,18475194,10078573,1455189
1355526,42882,20053141,18581035,9954546,1436671
1342093,42607,20053141,18681923,9838987,1415045
1328240,42069,20053141,18779844,9725633,1399525
1314093,41222,20053141,18875032,9616054,1382450
1300276,40997,20053141,18968231,9511563,1363770
1288738,40693,20053141,19059509,9409575,1350033
1275005,39989,20053141,19149835,9311994,1332597
1262362,39543,20053141,19239147,9218263,1316550
1251177,39438,20053141,19327675,9125462,1304540
1239780,38895,20053141,19415949,9036547,1289800
1226321,38352,20053141,19504448,8947058,1277458
1214110,38146,20053141,19592547,8859659,1263363
1202085,37383,20053141,19623098,8772655,1251706
1193732,37311,20053141,19650062,8689466,1239610
1183232,36671,20053141,19672821,8609875,1226152
1176861,36167,20053141,19692089,8534347,1216222
1169779,36419,20053141,19707548,8463490,1204217
1159981,35979,20053141,19719704,8396175,1191317
1154099,35629,20053141,19728575,8335641,1179004
1148026,34777,20053141,19734020,8280429,1168461
1142758,35090,20053141,19736089,8228348,1159749
1133381,34369,20053141,19737626,8178393,1148967
1129792,34113,20053141,19738896,8130596,1143476
1122436,33887,20053141,19739952,8082717,1136428
1115841,33828,20053141,19740837,8037973,1126757
1113279,33685,20053141,19741488,7996375,1121192
1109011,33618,20053141,19741970,7956928,1114840
1102602,33352,20053141,19742255,7916393,1109785
1095929,33099,20053141,19742356,7878307,1100916
1092630,32886,20053141,19742427,7840649,1097402
1086065,32784,20053141,19742488,7803385,1090545
1084305,32531,20053141,19742537,7771721,1083438
1079460,32548,20053141,19742594,7737492,1081141
1074952,32012,20053141,19742633,7703224,1077208
1068893,32034,20053141,19742649,7669528,1070555
1063525,32007,20053141,19742666,7636243,1064803
1060529,31474,20053141,19742678,7604193,1061105
1055800,31989,20053141,19742682,7572738,1055266
1050274,31314,20053141,19742690,7538707,1052991
1046225,31582,20053141,19742694,7504935,1048415
1041032,31301,20053141,19742696,7471336,1043330
1036070,31174,20053141,19742700,7438188,1038044
1032170,31068,20053141,19742702,7405503,1033787
1029625,30664,20053141,19742704,7374874,1029590
1022824,30895,20053141,19742706,7341774,1025029
1020372,30513,20053141,19742706,7310922,1020711
1015697,30449,20053141,19742706,7280448,1015722
1012359,30231,20053141,19742706,7251234,1011342
1006733,30239,20053141,19742706,7221176,1006552
1002615,30051,20053141,19742706,7191990,1001750
998603,29987,20053141,19742706,7160512,1000094
994234,29817,20053141,19742706,7131160,993769
989997,29718,20053141,19742706,7100345,991094
986790,29731,20053141,19742706,7071370,986034
982164,29338,20053141,19742706,7040881,983315
978602,29082,20053141,19742706,7012316,978085
973136,29415,20053141,19742706,6982291,973746
969872,29105,20053141,19742706,6953395,969663
964445,28867,20053141,19742706,6923384,965589
963516,28914,20053141,19742706,6896974,961012
958333,28512,20053141,19742706,6867670,959125
954928,28519,20053141,19742706,6839931,954148
950370,28343,20053141,19742706,6811426,950532
945460,28391,20053141,19742706,6783757,944738
942218,28396,20053141,19742706,6755670,941909
938207,28366,20053141,19742706,6728670,936841
936158,28020,20053141,19742706,6701616,935192
929408,27722,20053141,19742706,6672485,930817
926512,27580,20053141,19742706,6643202,928215
923339,27681,20053141,19742706,6615826,923034
919019,27440,20053141,19742706,6589350,918055
914437,27713,20053141,19742706,6561031,915043
912417,27373,20053141,19742706,6535247,910828
907726,27086,20053141,19742706,6506505,909382
903767,27223,20053141,19742706,6480630,902419
901346,27064,20053141,19742706,6454848,900064
898525,26931,20053141,19742706,6430198,896244
893056,26630,20053141,19742706,6403703,892921
889159,26593,20053141,19742706,6378244,888025
885254,26509,20053141,19742706,6351218,885771
881219,26402,20053141,19742706,6323897,882138
877882,26285,20053141,19742706,6297673,877821
873163,26316,20053141,19742706,6269453,875067
870654,26371,20053141,19742706,6241057,872679
867897,26206,20053141,19742706,6215224,867524
862745,25837,20053141,19742706,6188939,863193
857294,25859,20053141,19742706,6160863,859511
855642,25753,20053141,19742706,6134690,856062
851073,25606,20053141,19742706,6107706,852451
846601,25456,20053141,19742706,6080576,848275
845874,25457,20053141,19742706,6055780,845213
841216,25485,20053141,19742706,6028921,842590
838117,25144,20053141,19742706,6004025,837869
835011,24617,20053141,19742706,5981165,833254
831453,24886,20053141,19742706,5956240,831492
827116,24663,20053141,19742706,5932714,825979
823702,24420,20053141,19742706,5909639,822357
821186,24665,20053141,19742706,5884164,821996
817634,24394,20053141,19742706,5860229,817175
814373,24611,20053141,19742706,5836413,813578
811390,24221,20053141,19742706,5812568,811014
806753,24295,20053141,19742706,5787667,807359
804300,23949,20053141,19742706,5764137,803881
800532,24238,20053141,19742706,5740857,799574
798366,23924,20053141,19742706,5717998,797301
794224,23911,20053141,19742706,5694678,793633
791215,23774,20053141,19742706,5670962,791157
786445,23707,20053141,19742706,5645651,788049
782872,23667,20053141,19742706,5621445,783411
778892,23402,20053141,19742706,5595716,781219
777663,23561,20053141,19742706,5572865,776953
774015,22953,20053141,19742706,5548133,775794
769860,23226,20053141,19742706,5523868,770899
769208,23147,20053141,19742706,5501070,768859
765603,23022,20053141,19742706,5479470,764181
760852,23147,20053141,19742706,5457660,759515
757923,22729,20053141,19742706,5436091,756763
755939,22739,20053141,19742706,5415022,754269
750511,22386,20053141,19742706,5390816,752331
749449,22780,20053141,19742706,5370054,747431
746256,22329,20053141,19742706,5347287,746694
744454,22354,20053141,19742706,5325639,743748
741199,22168,20053141,19742706,5305987,738683
737160,22031,20053141,19742706,5285051,736065
733251,22022,20053141,19742706,5261898,734382
730395,21652,20053141,19742706,5241335,729306
726517,22079,20053141,19742706,5218653,727120
724963,22076,20053141,19742706,5196531,725009
