"CZAS";"PM10 Pył zawieszony PM10  [µg/m3]";"BaP (PM1 benzo(a)piren w PM10  [ng/m3]";"Pb (PM1 ołów w PM10  [µg/m3]";"As (PM1 arsen w PM10  [ng/m3]";"Cd (PM1 kadm w PM10  [ng/m3]";"Ni (PM1 nikiel w PM10  [ng/m3]";"BaA (PM1 benzo(a)antracen w PM10  [ng/m3]";"BbF (PM1 benzo(b)fluoranten w PM10  [ng/m3]";"BjF (PM1 benzo(j)fluoranten w PM10  [ng/m3]";"BkF (PM1 benzo(k)fluoranten w PM10  [ng/m3]";"DBahA (PM1 dibenzo(a,h)antracen w PM10  [ng/m3]";"IP (PM1 indeno(1,2,3-cd)piren w PM10  [ng/m3]"
"Styczeń";"35";"5,26";"0,018";"3,59";"0,34";"1,06";"3,86";"6,47";"4,85";"3,30";"0,75";"2,44"
"Luty";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Marzec";"27";"2,78";"0,012";"3,26";"0,33";"1,30";"2,80";"3,38";"2,16";"1,46";"0,59";"2,47"
"Kwiecień";"27";"1,50";"0,009";"2,50";"0,27";"1,05";"1,53";"1,80";"1,15";"0,78";"0,33";"1,33"
"Maj";"15";"0,51";"0,007";"2,35";"0,10";"1,20";"0,46";"0,60";"0,45";"0,28";"0,09";"0,60"
"Czerwiec";"15";"0,53";"0,005";"1,85";"0,11";"0,35";"0,05";"0,15";"0,07";"0,05";"0,14";"0,49"
"Lipiec";"16";"0,05";"0,007";"3,70";"0,11";"1,18";"0,05";"0,16";"0,08";"0,05";"0,05";"0,13"
"Sierpień";"19";"0,05";"0,009";"2,37";"0,26";"1,90";"0,05";"0,10";"0,05";"0,05";"0,05";"0,07"
"Wrzesień";"22";"0,32";"0,009";"1,65";"0,35";"1,43";"0,32";"0,43";"0,24";"0,17";"0,06";"0,29"
"Październik";"20";"1,14";"0,009";"0,97";"0,20";"1,16";"0,81";"1,26";"0,92";"0,59";"0,23";"0,99"
"Listopad";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Grudzień";"34";"8,21";"0,019";"1,80";"0,57";"1,50";"3,15";"7,58";"4,07";"3,25";"0,90";"5,11"
"wartość średnia";"23 (poz. dop.: 40 µg/m3)";"2,59 (poz. doc.: 1 ng/m3)";"0,011 (poz. dop.: 0.5 µg/m3)";"2,37 (poz. doc.: 6 ng/m3)";"0,26 (poz. doc.: 5 ng/m3)";"1,20 (poz. doc.: 20 ng/m3)";"1,58";"2,74";"1,77";"1,33";"0,34";"1,74"
"minimum";"-1)";"-1)";"-1)";"-1)";"-1)";"-1)";"-1)";"-1)";"-1)";"-1)";"-1)";"-1)"
"maksimum";"-1)";"-1)";"-1)";"-1)";"-1)";"-1)";"-1)";"-1)";"-1)";"-1)";"-1)";"-1)"
